Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
CMNISD,Nickel Spot Price (US Dollars/Ton),Commodity Prices,United States Dollar,United States,,,,,,,National Currency,Units,Stock,none,Annual From Dec 1900 To Sep 1926<BR>Monthly From Oct 1926 To Dec 1987<BR>Daily From Dec 1987 To Sep 2020<BR>,"Sources: Until 1980, data are for the INCO price, c.i.f. Far East and American ports from the Metal Bulletin in US cents per pound.  From 1980 on, data are from the London Metal Exchange, melting grade, spot, c.i.f. North European Ports from 1980. <br /><br />Notes: Prices before 1980 were converted using a short ton of 2000 pounds.",
Date,Ticker,Open,High,Low,Close,Period_Average,Close_Percent_Change,Period_Change,Annual_Percent_Change
10/02/2008,CMNISD,,,,15600,15600,-0.0234130462000751,-374,-48.181365221724
10/03/2008,CMNISD,,,,15125,15125,-0.0304487179487179,-475,-51.2159721326281
10/06/2008,CMNISD,,,,14402,14402,-0.047801652892562,-723,-52.047679296797
10/07/2008,CMNISD,,,,14009,14009,-0.0272878766837939,-393,-53.3561963108477
10/08/2008,CMNISD,,,,13407,13407,-0.0429723749018488,-602,-55.3620775761611
10/09/2008,CMNISD,,,,13200,13200,-0.0154396956813605,-207,-56.3766152219174
10/10/2008,CMNISD,,,,11955,11955,-0.0943181818181818,-1245,-61.1913650381432
10/13/2008,CMNISD,,,,12397,12397,0.0369719782517775,442,-61.0206263363099
10/14/2008,CMNISD,,,,12555,12555,0.0127450189561991,158,-60.5238334800654
10/15/2008,CMNISD,,,,11701,11701,-0.0680207088809239,-854,-63.6038445985878
10/16/2008,CMNISD,,,,10560,10560,-0.0975130330740962,-1141,-66.1516763895121
10/17/2008,CMNISD,,,,10585,10585,0.00236742424242424,25,-66.0214432460195
10/20/2008,CMNISD,,,,10154,10154,-0.0407179971658007,-431,-68.6081741173561
10/21/2008,CMNISD,,,,10449,10449,0.029052590112271,295,-67.6961602671118
10/22/2008,CMNISD,,,,10405,10405,-0.00421092927552876,-44,-66.5692070427965
10/23/2008,CMNISD,,,,9103,9103,-0.125132148005766,-1302,-71.2875346959374
10/24/2008,CMNISD,,,,9826,9826,0.0794243655937603,723,-68.4558587479936
10/27/2008,CMNISD,,,,10920,10920,0.111337268471402,1094,-65.3322327692943
10/28/2008,CMNISD,,,,11780,11780,0.0787545787545788,860,-62.6019873646782
10/29/2008,CMNISD,,,,13457,13457,0.142359932088285,1677,-56.8201508102037
10/30/2008,CMNISD,,,,11729,11729,-0.128409006465037,-1728,-62.0506681334326
10/31/2008,CMNISD,,,,12625,12625,0.0763918492625117,896,-59.9206349206349
11/03/2008,CMNISD,,,,11354,11354,-0.100673267326733,-1271,-64.1874842291193
11/04/2008,CMNISD,,,,11808,11808,0.0399859080500264,454,-62.7554882664648
11/05/2008,CMNISD,,,,12128,12128,0.02710027100271,320,-61.0683102208526
11/06/2008,CMNISD,,,,11237,11237,-0.0734663588390501,-891,-64.3835182250396
11/07/2008,CMNISD,,,,11402,11402,0.0146836344219988,165,-64.4731102386739
11/10/2008,CMNISD,,,,11902,11902,0.0438519557972286,500,-62.885119121866
11/11/2008,CMNISD,,,,10551,10551,-0.11351033439758,-1351,-67.0980416614694
11/12/2008,CMNISD,,,,10359,10359,-0.0181973272675576,-192,-69.2172827766552
11/13/2008,CMNISD,,,,11317,11317,0.0924799691089874,958,-66.0649494737473
11/14/2008,CMNISD,,,,11095,11095,-0.0196165061412035,-222,-66.831091180867
11/17/2008,CMNISD,,,,10515,10515,-0.0522757999098693,-580,-66.3261384743483
11/18/2008,CMNISD,,,,10349,10349,-0.0157869709938184,-166,-66.8577467495036
11/19/2008,CMNISD,,,,10300,10300,-0.00473475698135086,-49,-66.6212975565494
11/20/2008,CMNISD,,,,9650,9650,-0.0631067961165049,-650,-67.7009070522475
11/21/2008,CMNISD,,,,10104,10104,0.0470466321243523,454,-65.875240636293
11/24/2008,CMNISD,,,,10102,10102,-0.000197941409342835,-2,-64.523266022827
11/25/2008,CMNISD,,,,10383,10383,0.0278162740051475,281,-63.5364354697103
11/26/2008,CMNISD,,,,10200,10200,-0.0176249638832707,-183,-65.0649039284858
11/27/2008,CMNISD,,,,10159,10159,-0.00401960784313726,-41,-64.1113505493341
11/28/2008,CMNISD,,,,9705,9705,-0.0446894379368048,-454,-64.6512474959024
12/01/2008,CMNISD,,,,9692,9692,-0.00133951571354972,-13,-63.2976104820691
12/02/2008,CMNISD,,,,9388,9388,-0.0313660751134957,-304,-64.4488203885333
12/03/2008,CMNISD,,,,9082,9082,-0.0325948018747337,-306,-65.8699736941
12/04/2008,CMNISD,,,,9130,9130,0.00528517947588637,48,-64.3275767758068
12/05/2008,CMNISD,,,,9074,9074,-0.00613362541073384,-56,-64.5533028633931
12/08/2008,CMNISD,,,,9202,9202,0.0141062376019396,128,-65.076473490455
12/09/2008,CMNISD,,,,9278,9278,0.00825907411432297,76,-64.7880374966792
12/10/2008,CMNISD,,,,10182,10182,0.0974347919810304,904,-60.5410013951325
12/11/2008,CMNISD,,,,10609,10609,0.0419367511294441,427,-59.199292362126
12/12/2008,CMNISD,,,,10207,10207,-0.0378923555471769,-402,-60.0524441313451
12/15/2008,CMNISD,,,,10102,10102,-0.0102870579014402,-105,-60.996138996139
12/16/2008,CMNISD,,,,9572,9572,-0.0524648584438725,-530,-63.042471042471
12/17/2008,CMNISD,,,,9683,9683,0.0115963226076055,111,-62.0393602007213
12/18/2008,CMNISD,,,,9658,9658,-0.00258184446968915,-25,-62.420233463035
12/19/2008,CMNISD,,,,10190,10190,0.0550838682957134,532,-60.8122139753105
12/22/2008,CMNISD,,,,10186,10186,-0.000392541707556428,-4,-61.6274251271426
12/23/2008,CMNISD,,,,9699,9699,-0.0478107205968977,-487,-63.4620455829723
12/24/2008,CMNISD,,,,9516,9516,-0.0188679245283019,-183,-64.1514409493313
12/29/2008,CMNISD,,,,9754,9754,0.025010508617066,238,-63.0194115862906
12/30/2008,CMNISD,,,,10615,10615,0.0882714783678491,861,-59.7550803760995
12/31/2008,CMNISD,,,,10810,10810,0.018370230805464,195,-58.1007751937984
01/02/2009,CMNISD,,,,13110,13110,0.212765957446809,2300,-50.5357681859342
01/05/2009,CMNISD,,,,12752,12752,-0.0273073989321129,-358,-56.7875296509658
01/06/2009,CMNISD,,,,13419,13419,0.0523055207026349,667,-54.5272788885124
01/07/2009,CMNISD,,,,12213,12213,-0.0898725687458082,-1206,-56.2289441617088
01/08/2009,CMNISD,,,,11462,11462,-0.0614918529435847,-751,-60.2758716295834
01/09/2009,CMNISD,,,,12094,12094,0.0551387192462049,632,-58.0084024860248
01/12/2009,CMNISD,,,,10635,10635,-0.120638333057715,-1459,-61.4771615894519
01/13/2009,CMNISD,,,,11187,11187,0.0519040902679831,552,-59.4776687072119
01/14/2009,CMNISD,,,,10405,10405,-0.0699025654777867,-782,-63.7557475268218
01/15/2009,CMNISD,,,,10626,10626,0.0212397885631908,221,-62.6160990712074
01/16/2009,CMNISD,,,,10787,10787,0.0151515151515152,161,-61.3036303630363
01/19/2009,CMNISD,,,,11242,11242,0.0421804023361454,455,-59.2666400956556
01/20/2009,CMNISD,,,,10811,10811,-0.0383383739548123,-431,-60.8282908801044
01/21/2009,CMNISD,,,,10865,10865,0.00499491258902969,54,-60.2436971715028
01/22/2009,CMNISD,,,,10957,10957,0.00846755637367694,92,-58.7306967984934
01/23/2009,CMNISD,,,,12056,12056,0.100301177329561,1099,-54.7702119677359
01/26/2009,CMNISD,,,,11853,11853,-0.0168380889183809,-203,-55.4816901408451
01/27/2009,CMNISD,,,,11351,11351,-0.0423521471357462,-502,-57.3671361502347
01/28/2009,CMNISD,,,,11702,11702,0.0309223856928905,351,-56.2460272948215
01/29/2009,CMNISD,,,,11349,11349,-0.0301657836267305,-353,-58.4726846939149
01/30/2009,CMNISD,,,,11147,11147,-0.0177989250154199,-202,-59.4064093226511
02/02/2009,CMNISD,,,,11244,11244,0.00870189288597829,97,-59.4152680021657
02/03/2009,CMNISD,,,,11540,11540,0.0263251511917467,296,-58.3468687962462
02/04/2009,CMNISD,,,,11686,11686,0.0126516464471404,146,-57.8168429411977
02/05/2009,CMNISD,,,,11386,11386,-0.0256717439671402,-300,-57.1374792952869
02/06/2009,CMNISD,,,,11442,11442,0.00491832074477428,56,-56.6672978602537
02/09/2009,CMNISD,,,,11434,11434,-0.000699178465303269,-8,-58.1968411816321
02/10/2009,CMNISD,,,,10730,10730,-0.0615707538919014,-704,-60.7706931851419
02/11/2009,CMNISD,,,,10329,10329,-0.0373718546132339,-401,-63.1093967641701
02/12/2009,CMNISD,,,,10216,10216,-0.010940071642947,-113,-63.2438655824998
02/13/2009,CMNISD,,,,10399,10399,0.0179130775254503,183,-62.3292881724325
02/16/2009,CMNISD,,,,10220,10220,-0.0172131935763054,-179,-62.9763802347486
02/17/2009,CMNISD,,,,9822,9822,-0.0389432485322896,-398,-64.4182002608318
02/18/2009,CMNISD,,,,9712,9712,-0.0111993484015475,-110,-64.8115942028985
02/19/2009,CMNISD,,,,9821,9821,0.0112232289950577,109,-64.6051825422568
02/20/2009,CMNISD,,,,9572,9572,-0.0253538336218308,-249,-65.3878141384921
02/23/2009,CMNISD,,,,9425,9425,-0.0153572921019641,-147,-66.9842715521771
02/24/2009,CMNISD,,,,9719,9719,0.0311936339522546,294,-65.9543910043087
02/25/2009,CMNISD,,,,9998,9998,0.0287066570634839,279,-64.8564097156315
02/26/2009,CMNISD,,,,9980,9980,-0.0018003600720144,-18,-64.162596954898
02/27/2009,CMNISD,,,,9926,9926,-0.00541082164328657,-54,-65.5956465980382
03/02/2009,CMNISD,,,,9468,9468,-0.0461414467056216,-458,-69.9466734382935
03/03/2009,CMNISD,,,,9570,9570,0.0107731305449937,102,-69.9868280750172
03/04/2009,CMNISD,,,,9759,9759,0.0197492163009404,189,-70.096522138808
03/05/2009,CMNISD,,,,9752,9752,-0.000717286607234348,-7,-69.1899406040692
03/06/2009,CMNISD,,,,9785,9785,0.00338392124692371,33,-70.0581395348837
03/09/2009,CMNISD,,,,9600,9600,-0.0189064895247828,-185,-71.0747536834493
03/10/2009,CMNISD,,,,9857,9857,0.0267708333333333,257,-69.7721487932779
03/11/2009,CMNISD,,,,9719,9719,-0.0140002029014913,-138,-69.7707691829181
03/12/2009,CMNISD,,,,9374,9374,-0.0354974791645231,-345,-70.1265177347908
03/13/2009,CMNISD,,,,9522,9522,0.0157883507574141,148,-70.5055135670921
03/16/2009,CMNISD,,,,10014,10014,0.0516698172652804,492,-69.0744572434452
03/17/2009,CMNISD,,,,10017,10017,0.000299580587177951,3,-67.8983463658505
03/18/2009,CMNISD,,,,9791,9791,-0.0225616452031546,-226,-67.5332426965547
03/19/2009,CMNISD,,,,9922,9922,0.013379634358084,131,-66.4842588839346
03/20/2009,CMNISD,,,,9893,9893,-0.00292279782301955,-29,-65.1409443269908
03/23/2009,CMNISD,,,,9763,9763,-0.0131406044678055,-130,-65.5990133897111
03/24/2009,CMNISD,,,,9663,9663,-0.0102427532520742,-100,-65.9513742071882
03/25/2009,CMNISD,,,,9507,9507,-0.0161440546414157,-156,-67.6192098092643
03/26/2009,CMNISD,,,,9633,9633,0.0132533922372988,126,-67.4010152284264
03/27/2009,CMNISD,,,,9608,9608,-0.00259524551022527,-25,-69.145793192036
03/30/2009,CMNISD,,,,9478,9478,-0.0135303913405495,-130,-68.6574074074074
03/31/2009,CMNISD,,,,9755,9755,0.0292255750158261,277,-66.9265977284285
04/01/2009,CMNISD,,,,10005,10005,0.0256278831368529,250,-65.6185567010309
04/02/2009,CMNISD,,,,10486,10486,0.0480759620189905,481,-63.6861061088794
04/03/2009,CMNISD,,,,10307,10307,-0.0170703795536906,-179,-63.4347949482049
04/06/2009,CMNISD,,,,10650,10650,0.0332783545163481,343,-62.9229912268486
04/07/2009,CMNISD,,,,10797,10797,0.0138028169014085,147,-62.5169241451137
04/08/2009,CMNISD,,,,10874,10874,0.00713161063258312,77,-61.5270308519672
04/09/2009,CMNISD,,,,10942,10942,0.00625344859297407,68,-62.1410283025396
04/14/2009,CMNISD,,,,11745,11745,0.0733869493694023,803,-59.0837833130117
04/15/2009,CMNISD,,,,12399,12399,0.0556832694763729,654,-56.6922808243102
04/16/2009,CMNISD,,,,12360,12360,-0.00314541495281878,-39,-58.257345491388
04/17/2009,CMNISD,,,,12765,12765,0.0327669902912621,405,-56.1038514442916
04/20/2009,CMNISD,,,,12011,12011,-0.0590677634155895,-754,-59.1559832692896
04/21/2009,CMNISD,,,,11439,11439,-0.0476230122387811,-572,-60.0719047785263
04/22/2009,CMNISD,,,,11458,11458,0.001660984351779,19,-59.7781444167515
04/23/2009,CMNISD,,,,11294,11294,-0.0143131436550881,-164,-60.4135997195934
04/24/2009,CMNISD,,,,11494,11494,0.0177085177970604,200,-59.9037186911324
04/27/2009,CMNISD,,,,11322,11322,-0.0149643292152427,-172,-61.443895794313
04/28/2009,CMNISD,,,,10875,10875,-0.039480657127716,-447,-62.5310088202867
04/29/2009,CMNISD,,,,11063,11063,0.0172873563218391,188,-61.1756448499737
04/30/2009,CMNISD,,,,11626,11626,0.0508903552381813,563,-59.7771934680321
05/01/2009,CMNISD,,,,11845,11845,0.0188370892826424,219,-58.0039000177273
05/05/2009,CMNISD,,,,11941,11941,0.00810468552131701,96,-57.7309734513274
05/06/2009,CMNISD,,,,12632,12632,0.057867850263797,691,-55.3797244789827
05/07/2009,CMNISD,,,,13222,13222,0.0467067764407853,590,-53.3944307366937
05/08/2009,CMNISD,,,,13027,13027,-0.0147481470276811,-195,-52.2383134738772
05/11/2009,CMNISD,,,,12847,12847,-0.0138174560528134,-180,-52.1598272138229
05/12/2009,CMNISD,,,,13335,13335,0.0379855219117304,488,-49.436924126948
05/13/2009,CMNISD,,,,12370,12370,-0.072365954255718,-965,-53.6269915651359
05/14/2009,CMNISD,,,,12471,12471,0.00816491511721908,101,-53.0512366826036
05/15/2009,CMNISD,,,,12385,12385,-0.00689599871702349,-86,-52.647677308354
05/18/2009,CMNISD,,,,12275,12275,-0.00888171174808236,-110,-53.2470005713197
05/19/2009,CMNISD,,,,12403,12403,0.0104276985743381,128,-52.2171283276188
05/20/2009,CMNISD,,,,12591,12591,0.0151576231556881,188,-51.2260313771063
05/21/2009,CMNISD,,,,12047,12047,-0.0432054642204749,-544,-52.3833992094862
05/22/2009,CMNISD,,,,12718,12718,0.0556985141529011,671,-45.568157500535
05/26/2009,CMNISD,,,,13326,13326,0.0478062588457305,608,-44.3939077821824
05/27/2009,CMNISD,,,,13321,13321,-0.000375206363499925,-5,-42.4827288428325
05/28/2009,CMNISD,,,,13425,13425,0.00780722168005405,104,-39.9463207336166
05/29/2009,CMNISD,,,,13766,13766,0.0254003724394786,341,-37.6257362936112
06/01/2009,CMNISD,,,,14575,14575,0.05876797907889,809,-34.139177586986
06/02/2009,CMNISD,,,,14543,14543,-0.00219554030874786,-32,-34.0453514739229
06/03/2009,CMNISD,,,,14126,14126,-0.0286735886680877,-417,-37.2289370778528
06/04/2009,CMNISD,,,,14623,14623,0.035183349851338,497,-34.9944432096021
06/05/2009,CMNISD,,,,14604,14604,-0.00129932298433974,-19,-35.6510244547257
06/08/2009,CMNISD,,,,14216,14216,-0.0265680635442345,-388,-35.0867579908676
06/09/2009,CMNISD,,,,14914,14914,0.049099606077659,698,-31.7499542375984
